"","T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts"
"SJAML030069_D1",69.8005648764593,92.3020627642653,49.9887504096448,2192.90107986876,19.9758195534604,2151.2875225505,17.4501412191148,404.567747737899,537.280663851694,57.1721732047315
"SJAML030077_D1",271.688748356368,119.820223770343,943.713156580188,752.124537160827,111.158520847185,568.991389642644,178.767924219608,3937.8026311545,175.264145085761,126.136048818478
"SJAML030079_D1",208.013802648069,199.492563412485,212.120835176834,1308.58095986939,49.4251785101292,661.448396738062,52.9591036604003,888.12018649742,805.846924847554,122.741681979838
"SJAML030085_D1",59.4482023093014,46.0244146910721,114.239172179625,561.881396020171,25.888733263728,3742.77115184183,31.1623641137467,1167.86952278595,262.21331573019,84.1383831071161
"SJAML030099_D1",300.051439881417,284.644916355884,280.618821357922,652.272124058642,59.5358797823569,803.205952093335,73.7446400459964,5985.99804296929,291.338299289995,245.893752000504
"SJAML030118_D1",46.7005416081884,69.0641812515462,100.072589160404,340.497376138575,9.37299602699554,1766.35167233546,15.1283444646244,795.35626637495,226.431851388998,92.7433291092193
"SJAML030119_D1",384.151956731839,283.233010331993,261.037913128446,1272.40978589815,41.0756610857684,669.192001526422,14.2074811007957,1669.79150460127,160.994249046417,67.1990940775542
"SJAML030120_D1",202.208636536047,167.258995653273,1227.51697876027,611.063959244048,13.4181656960648,190.083250923656,18.3069547481194,957.2873064653,1009.01485530757,99.8561168079242
"SJBALL030057_D1",1775.14861668689,1266.79034361163,1180.32687571433,3105.98224989222,136.135976162431,73.6447560869461,29.9103275574968,902.470824421104,301.962351003259,228.726034263211
"SJBALL030059_D1",24.8382169912127,30.0058997209281,30.0058997209281,2777.76838342444,6.72007129166621,261.301376736416,32.923139971574,713.30691614362,114.124001412541,1988.98482160549
"SJAML030151_D1",76.5413285015926,58.5562075968468,139.070993042511,680.948279216507,22.7428127719896,2168.22283996998,102.996186576597,1758.91694057576,213.802045929782,27.3175164904933
"SJAML030153_D1",238.661263223133,585.433067725395,528.216693878246,71.2972828719428,14.4866989102354,1204.70901189655,36.3587737354928,691.10075389417,22.4756872798505,24.3930444885581
"SJBALL030072_D1",113.391521780497,16.2356042549349,50.5843996514296,4201.24178463544,262.282321118412,127.56546200306,36.981098580685,604.170644686814,320.870625163378,45.6143167162455
"SJBALL030074_D1",822.920433410396,1171.00631788744,750.762878165543,4148.02345668474,29.7953950027902,63.509458736106,134.000453716252,6066.65771775329,155.243466820093,175.461770571986
"SJBALL030080_D1",276.116912068241,469.289613396615,477.085121924798,1535.1954794835,57.2969876821448,267.775717943085,171.890963046434,5476.86444161709,175.13097127846,76.3959835761932
"SJAML030155_D1",375.074499770436,382.218240242968,352.928100735228,1495.96675485824,37.4413563151914,765.641836021233,17.5781015564279,579.036727749979,767.178664328739,74.4608381930284
"SJAML030156_D1",356.234617134127,284.553548989109,288.598375556118,3798.68763477749,44.3287711578182,696.822496831538,231.347226188907,994.238594303737,545.792464844315,291.985917805988
"SJBALL030090_D1",77.1936236410262,86.5443976387794,25.1532978359013,3155.05725491565,2.61125337703214,116.813620458254,44.7643436062652,1283.04556407469,66.0274068192412,53.7172123275183
"SJAML030163_D1",244.586607685882,728.21630791092,513.135119588243,1820.96073304599,18.2684021880767,1226.7727026003,44.9360697499819,592.65216477733,275.364665740104,80.0030026857153
"SJBALL030091_D1",104.531178928641,107.52895588046,37.9842545447859,3790.23277212579,41.5452784083596,129.872635024452,16.9439566841937,729.632842447049,565.99332231624,57.4302377997912
"SJAML030186_D1",668.263784670889,540.442857537187,526.063003234646,1132.28037952605,41.1922909708222,443.892407220123,360.494958556771,5581.54044753151,411.660776947498,2454.16180096709
"SJBALL030095_D1",295.034985414985,361.8932253531,251.046995311533,4199.25632394186,401.379456509212,211.177402687886,18.401350441683,215.09134071834,106.191126507213,362.65994828817
"SJBALL030103_D1",264.187160473065,272.472885650748,240.832341703,4085.67692148298,31.8681737603214,184.607777997291,79.9360025154729,929.807083080314,229.450851074314,32.8640541903314
"SJAML030200_D1",38.3870895114001,49.5120103570607,38.1163889256737,388.04783425935,6.41822356480415,2890.82028724955,22.4637824768146,1525.58117838459,116.330302112075,54.4402891657496
